LGA_CODE,LGA_NAME_2021,IRSD_SCORE_2021,IRSD_DECILE_2021,IRSAD_SCORE_2021,IRSAD_DECILE_2021,IER_SCORE_2021,IER_DECILE_2021,IEO_SCORE_2021,IEO_DECILE_2021
40250,Anangu Pitjantjatjara Yunkunytjatjara,496,1,706,1,519,1,889,2
40310,Barossa,1014,8,976,7,1025,9,955,6
40430,Barunga West,950,3,932,4,966,4,947,6
40520,Berri Barmera,907,2,887,2,929,2,882,2
40700,Burnside,1083,10,1102,10,1050,10,1131,10
40910,Campbelltown (SA),1021,8,1012,9,990,6,1030,9
41010,Ceduna,943,3,927,4,928,2,926,4
41060,Charles Sturt,1001,7,993,8,969,4,1005,8
41140,Clare and Gilbert Valleys,998,7,963,6,994,7,960,7
41190,Cleve,989,6,952,6,988,6,949,6
41330,Coober Pedy,868,1,868,1,832,1,868,1
41560,Copper Coast,924,2,892,2,950,3,873,1
41750,Elliston,959,4,952,5,962,4,988,8
41830,Flinders Ranges,933,3,907,2,944,3,902,3
41960,Franklin Harbour,959,4,923,3,970,4,906,3
42030,Gawler,960,4,931,4,968,4,926,4
42110,Goyder,947,3,914,3,957,3,919,4
42250,Grant,1026,8,974,7,1055,10,927,4
42600,Holdfast Bay,1047,9,1044,9,999,7,1062,9
42750,Kangaroo Island,991,7,952,6,982,5,945,6
43080,Karoonda East Murray,956,4,930,4,975,5,946,6
43220,Kimba,1020,8,985,8,1007,8,986,8
43360,Kingston (SA),977,5,942,5,987,6,910,3
43650,Light,1027,9,981,7,1055,10,949,6
43710,Lower Eyre Peninsula,1033,9,982,8,1037,9,953,6
43790,Loxton Waikerie,958,4,925,3,967,4,911,3
44000,Maralinga Tjarutja,644,1,823,1,641,1,1043,9
44060,Marion,1008,8,994,8,974,5,1013,9
44210,Mid Murray,914,2,882,2,952,3,874,1
44340,Mitcham,1075,10,1073,10,1050,10,1094,10
44550,Mount Barker,1037,9,1004,8,1038,9,1002,8
44620,Mount Gambier,924,2,893,2,928,2,883,2
44830,Mount Remarkable,974,5,950,5,990,6,958,7
45040,Murray Bridge,891,2,866,1,923,2,853,1
45090,Naracoorte Lucindale,978,5,949,5,986,6,929,5
45120,Northern Areas,979,6,948,5,975,5,957,6
45290,Norwood Payneham and St Peters,1038,9,1052,9,974,5,1090,10
45340,Onkaparinga,987,6,951,5,991,6,945,6
45400,Orroroo Carrieton,1006,8,980,7,1000,7,986,8
45540,Peterborough,773,1,783,1,853,1,825,1
45680,Playford,852,1,850,1,911,2,852,1
45890,Port Adelaide Enfield,953,4,953,6,937,2,978,8
46090,Port Augusta,889,2,877,1,892,2,870,1
46300,Port Lincoln,948,3,915,3,936,2,900,3
46450,Port Pirie,889,2,868,1,902,2,866,1
46510,Prospect,1054,10,1058,9,1000,7,1085,10
46670,Renmark Paringa,923,2,899,2,949,3,879,1
46860,Robe,1023,8,984,8,1006,8,965,7
46970,Roxby Downs,1048,9,1004,8,1010,8,919,4
47140,Salisbury,904,2,898,2,945,3,902,3
47290,Southern Mallee,997,7,962,6,985,6,944,6
47490,Streaky Bay,1000,7,960,6,977,5,945,6
47630,Tatiara,982,6,950,5,1004,8,926,4
47700,Tea Tree Gully,1030,9,996,8,1016,8,985,8
47800,Coorong,939,3,911,3,956,3,910,3
47910,Tumby Bay,993,7,954,6,979,5,955,6
47980,Unley,1067,10,1084,10,1014,8,1119,10
48050,Victor Harbor,962,4,927,3,970,4,925,4
48130,Wakefield,921,2,897,2,957,3,892,2
48260,Walkerville,1075,10,1097,10,1035,9,1123,10
48340,Wattle Range,942,3,906,2,963,4,892,2
48410,West Torrens,1015,8,1010,9,960,3,1029,9
48540,Whyalla,883,1,868,1,879,1,865,1
48640,Wudinna,1009,8,972,7,987,6,959,7
48750,Yankalilla,978,5,942,5,991,6,938,5
48830,Yorke Peninsula,952,4,918,3,961,4,910,3
49399,Unincorporated SA,905,2,904,2,865,1,895,2
50080,Albany,987,6,955,6,997,7,941,5
50210,Armadale,990,6,971,7,1025,9,947,6
50250,Ashburton,1024,8,979,7,973,5,902,3
50280,Augusta Margaret River,1031,9,999,8,1036,9,993,8
50350,Bassendean,1015,8,1005,8,994,7,1015,9
50420,Bayswater,1018,8,1017,9,994,7,1028,9
50490,Belmont,987,6,985,8,953,3,995,8
50560,Beverley,956,4,932,4,986,6,927,4
50630,Boddington,976,5,944,5,1011,8,894,2
50770,Boyup Brook,995,7,969,7,1006,8,972,7
50840,Bridgetown-Greenbushes,1000,7,962,6,1018,8,945,6
50910,Brookton,944,3,919,3,984,6,894,2
50980,Broome,962,4,983,8,934,2,985,8
51080,Broomehill-Tambellup,961,4,961,6,1000,7,988,8
