LGA_CODE,STATE,AGE_5_9_2024,AGE_10_14_2024,AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_2019,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,GIRLS_5_14_2024,GIRLS_SHARE_OF_5_14_PCT,GIRLS_5_14_2019,GIRLS_5_14_CHANGE_5Y,GIRLS_5_14_GROWTH_5Y_PCT
15300,New South Wales,843,916,1759,13.657892693532107,1851,-92,-4.970286331712588,832,47.299602046617395,907,-75,-8.26901874310915
15350,New South Wales,1484,1781,3265,11.149433137549515,3551,-286,-8.05406927626021,1660,50.84226646248086,1752,-92,-5.251141552511415
15520,New South Wales,751,854,1605,11.736745886654479,1494,111,7.429718875502007,813,50.654205607476634,738,75,10.16260162601626
15560,New South Wales,210,198,408,11.065907241659886,490,-82,-16.73469387755102,175,42.8921568627451,219,-44,-20.091324200913242
15650,New South Wales,1180,1240,2420,14.362017804154304,2485,-65,-2.61569416498994,1149,47.4793388429752,1166,-17,-1.4579759862778732
15700,New South Wales,1084,1176,2260,10.736342042755345,2338,-78,-3.3361847733105217,1099,48.6283185840708,1145,-46,-4.017467248908297
15750,New South Wales,807,894,1701,13.245600373773556,1878,-177,-9.424920127795527,822,48.32451499118166,964,-142,-14.730290456431536
15800,New South Wales,360,431,791,13.78048780487805,854,-63,-7.377049180327869,374,47.281921618204805,429,-55,-12.82051282051282
15850,New South Wales,410,483,893,13.888024883359254,1006,-113,-11.232604373757455,421,47.1444568868981,461,-40,-8.676789587852495
15900,New South Wales,8966,9479,18445,10.421610504666983,18612,-167,-0.8972705781216419,8905,48.27866630523177,8941,-36,-0.4026395257801141
15950,New South Wales,2616,2595,5211,7.129566288137912,5442,-231,-4.244762954796031,2536,48.666282863174054,2695,-159,-5.899814471243043
15990,New South Wales,15168,17747,32915,12.135009585606843,35811,-2896,-8.086900672977576,15970,48.518912349992405,17329,-1359,-7.8423452016850375
16100,New South Wales,299,361,660,11.808910359634996,656,4,0.6097560975609756,339,51.36363636363637,313,26,8.30670926517572
16150,New South Wales,3138,3142,6280,14.040422106957609,6322,-42,-0.6643467257197089,3016,48.02547770700637,3025,-9,-0.2975206611570248
16200,New South Wales,944,1052,1996,14.022762399887592,2128,-132,-6.203007518796992,1008,50.50100200400801,1067,-59,-5.5295220243673855
